operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QSKINNY_128_256.Round, 2376, 613, 896, 0, 0, 4, 384, 4, round = 38, 42
QSKINNY_128_256.Round, 2376, 613, 896, 0, 0, 4, 384, 4, round = 39, 42
QSKINNY_128_256.Round, 2376, 612, 896, 0, 0, 4, 384, 4, round = 40, 42
QSKINNY_128_256.Round, 2376, 612, 896, 0, 0, 4, 384, 4, round = 41, 42
QSKINNY_128_256.Round, 2376, 612, 896, 0, 0, 4, 384, 4, round = 42, 42
QSKINNY_128_256.Round, 2376, 611, 896, 0, 0, 4, 384, 4, round = 43, 42
QSKINNY_128_256.Round, 2376, 611, 896, 0, 0, 4, 384, 4, round = 44, 42
QSKINNY_128_256.Round, 2376, 610, 896, 0, 0, 4, 384, 4, round = 45, 42
QSKINNY_128_256.Round, 2376, 611, 896, 0, 0, 4, 384, 4, round = 46, 42
QSKINNY_128_256.Round, 2376, 611, 896, 0, 0, 4, 384, 4, round = 47, 42
QSKINNY_128_256.Round, 2376, 610, 896, 0, 0, 4, 384, 4, round = 48, 42
QSKINNY_128_384.Round, 2448, 610, 896, 0, 0, 4, 512, 4, round = 1, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 2, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 3, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 4, 42
QSKINNY_128_384.Round, 2448, 614, 896, 0, 0, 4, 512, 4, round = 5, 42
QSKINNY_128_384.Round, 2448, 615, 896, 0, 0, 4, 512, 4, round = 6, 42
QSKINNY_128_384.Round, 2448, 614, 896, 0, 0, 4, 512, 4, round = 7, 42
QSKINNY_128_384.Round, 2448, 614, 896, 0, 0, 4, 512, 4, round = 8, 42
QSKINNY_128_384.Round, 2448, 614, 896, 0, 0, 4, 512, 4, round = 9, 42
QSKINNY_128_384.Round, 2448, 614, 896, 0, 0, 4, 512, 4, round = 10, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 11, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 12, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 13, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 14, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 15, 42
